sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:40:01.554639,2022-09-05 00:47:00,20000.00,20241.40,20000.00,20100.00,2022-09-05 00:47:59
2022-09-05 01:40:01.554891,2022-09-05 00:48:00,20100.00,20241.00,20000.00,20189.00,2022-09-05 00:48:59
2022-09-05 01:40:01.555008,2022-09-05 00:49:00,20100.00,20241.00,20000.00,20084.00,2022-09-05 00:49:59
2022-09-05 01:40:01.555103,2022-09-05 00:50:00,20050.00,20230.00,19925.00,20189.00,2022-09-05 00:50:59
2022-09-05 01:40:01.555216,2022-09-05 00:51:00,20189.00,20230.00,19921.00,19938.40,2022-09-05 00:51:59
2022-09-05 01:40:01.555303,2022-09-05 00:52:00,20000.00,20230.00,19920.00,20172.50,2022-09-05 00:52:59
2022-09-05 01:40:01.555396,2022-09-05 00:53:00,20189.50,20230.00,19900.00,20180.00,2022-09-05 00:53:59
2022-09-05 01:40:01.555475,2022-09-05 00:54:00,20196.80,20230.00,20000.00,20200.00,2022-09-05 00:54:59
2022-09-05 01:40:01.555553,2022-09-05 00:55:00,20200.00,20230.00,19921.00,20051.30,2022-09-05 00:55:59
2022-09-05 01:40:01.555630,2022-09-05 00:56:00,20038.90,20230.00,20000.30,20100.00,2022-09-05 00:56:59
2022-09-05 01:40:01.555705,2022-09-05 00:57:00,20100.00,20230.00,19950.10,20135.60,2022-09-05 00:57:59
2022-09-05 01:40:01.555781,2022-09-05 00:58:00,20150.00,20229.00,19950.10,19950.10,2022-09-05 00:58:59
2022-09-05 01:40:01.555858,2022-09-05 00:59:00,20050.00,20229.00,19950.10,20200.00,2022-09-05 00:59:59
2022-09-05 01:40:01.555933,2022-09-05 01:00:00,20159.60,20230.00,19950.10,20143.30,2022-09-05 01:00:59
2022-09-05 01:40:01.556009,2022-09-05 01:01:00,20149.10,20230.00,19950.10,20100.00,2022-09-05 01:01:59
2022-09-05 01:40:01.556084,2022-09-05 01:02:00,20100.00,20230.00,19950.10,20230.00,2022-09-05 01:02:59
2022-09-05 01:40:01.556162,2022-09-05 01:03:00,20189.50,20230.00,19950.10,20050.00,2022-09-05 01:03:59
2022-09-05 01:40:01.556240,2022-09-05 01:04:00,20050.00,20222.00,20020.60,20222.00,2022-09-05 01:04:59
2022-09-05 01:40:01.556315,2022-09-05 01:05:00,20181.60,20222.00,19930.00,20000.00,2022-09-05 01:05:59
2022-09-05 01:40:01.556391,2022-09-05 01:06:00,20000.00,20241.40,19930.00,20047.60,2022-09-05 01:06:59
