sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:42:01.542344,2022-09-05 00:49:00,0.3333,0.3354,0.3274,0.3334,2022-09-05 00:49:59
2022-09-05 01:42:01.543227,2022-09-05 00:50:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:50:59
2022-09-05 01:42:01.543378,2022-09-05 00:51:00,0.3334,0.3357,0.3274,0.3333,2022-09-05 00:51:59
2022-09-05 01:42:01.543453,2022-09-05 00:52:00,0.3333,0.3347,0.3329,0.3340,2022-09-05 00:52:59
2022-09-05 01:42:01.543552,2022-09-05 00:53:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:53:59
2022-09-05 01:42:01.543646,2022-09-05 00:54:00,0.3334,0.3347,0.3334,0.3347,2022-09-05 00:54:59
2022-09-05 01:42:01.543730,2022-09-05 00:55:00,0.3335,0.3368,0.3335,0.3335,2022-09-05 00:55:59
2022-09-05 01:42:01.543828,2022-09-05 00:56:00,0.3335,0.3348,0.3335,0.3335,2022-09-05 00:56:59
2022-09-05 01:42:01.543910,2022-09-05 00:57:00,0.3335,0.3348,0.3334,0.3334,2022-09-05 00:57:59
2022-09-05 01:42:01.544006,2022-09-05 00:58:00,0.3334,0.3361,0.3332,0.3332,2022-09-05 00:58:59
2022-09-05 01:42:01.544088,2022-09-05 00:59:00,0.3332,0.3361,0.3331,0.3331,2022-09-05 00:59:59
2022-09-05 01:42:01.544179,2022-09-05 01:00:00,0.3331,0.3343,0.3331,0.3343,2022-09-05 01:00:59
2022-09-05 01:42:01.544270,2022-09-05 01:01:00,0.3331,0.3343,0.3331,0.3331,2022-09-05 01:01:59
2022-09-05 01:42:01.544380,2022-09-05 01:02:00,0.3331,0.3368,0.3331,0.3343,2022-09-05 01:02:59
2022-09-05 01:42:01.544525,2022-09-05 01:03:00,0.3343,0.3355,0.3343,0.3355,2022-09-05 01:03:59
2022-09-05 01:42:01.544617,2022-09-05 01:04:00,0.3348,0.3355,0.3343,0.3355,2022-09-05 01:04:59
2022-09-05 01:42:01.544709,2022-09-05 01:05:00,0.3342,0.3361,0.3341,0.3341,2022-09-05 01:05:59
2022-09-05 01:42:01.544790,2022-09-05 01:06:00,0.3341,0.3359,0.3341,0.3359,2022-09-05 01:06:59
2022-09-05 01:42:01.544885,2022-09-05 01:07:00,0.3341,0.3370,0.3336,0.3336,2022-09-05 01:07:59
2022-09-05 01:42:01.544967,2022-09-05 01:08:00,0.3336,0.3351,0.3336,0.3336,2022-09-05 01:08:59
2022-09-05 01:42:01.545025,2022-09-05 01:09:00,0.3336,0.3366,0.3335,0.3335,2022-09-05 01:09:59
2022-09-05 01:42:01.545119,2022-09-05 01:10:00,0.3335,0.3350,0.3335,0.3336,2022-09-05 01:10:59
2022-09-05 01:42:01.545202,2022-09-05 01:11:00,0.3336,0.3366,0.3336,0.3337,2022-09-05 01:11:59
2022-09-05 01:42:01.545293,2022-09-05 01:12:00,0.3337,0.3366,0.3337,0.3353,2022-09-05 01:12:59
2022-09-05 01:42:01.545380,2022-09-05 01:13:00,0.3335,0.3417,0.3334,0.3334,2022-09-05 01:13:59
2022-09-05 01:42:01.545483,2022-09-05 01:14:00,0.3334,0.3335,0.3334,0.3335,2022-09-05 01:14:59
2022-09-05 01:42:01.545631,2022-09-05 01:15:00,0.3334,0.3335,0.3274,0.3334,2022-09-05 01:15:59
2022-09-05 01:42:01.545716,2022-09-05 01:16:00,0.3334,0.3347,0.3333,0.3346,2022-09-05 01:16:59
2022-09-05 01:42:01.545807,2022-09-05 01:17:00,0.3332,0.3348,0.3332,0.3348,2022-09-05 01:17:59
2022-09-05 01:42:01.545898,2022-09-05 01:18:00,0.3344,0.3344,0.3344,0.3344,2022-09-05 01:18:59
2022-09-05 01:42:01.545977,2022-09-05 01:19:00,0.3344,0.3348,0.3344,0.3344,2022-09-05 01:19:59
2022-09-05 01:42:01.546069,2022-09-05 01:20:00,0.3344,0.3350,0.3344,0.3350,2022-09-05 01:20:59
2022-09-05 01:42:01.546173,2022-09-05 01:21:00,0.3344,0.3360,0.3343,0.3343,2022-09-05 01:21:59
2022-09-05 01:42:01.546265,2022-09-05 01:22:00,0.3339,0.3360,0.3274,0.3342,2022-09-05 01:22:59
2022-09-05 01:42:01.546345,2022-09-05 01:23:00,0.3332,0.3361,0.3274,0.3338,2022-09-05 01:23:59
2022-09-05 01:42:01.546435,2022-09-05 01:24:00,0.3338,0.3361,0.3338,0.3338,2022-09-05 01:24:59
2022-09-05 01:42:01.546543,2022-09-05 01:25:00,0.3338,0.3354,0.3333,0.3333,2022-09-05 01:25:59
2022-09-05 01:42:01.546636,2022-09-05 01:26:00,0.3338,0.3354,0.3337,0.3337,2022-09-05 01:26:59
2022-09-05 01:42:01.546735,2022-09-05 01:27:00,0.3337,0.3364,0.3337,0.3364,2022-09-05 01:27:59
2022-09-05 01:42:01.546844,2022-09-05 01:28:00,0.3357,0.3357,0.3337,0.3353,2022-09-05 01:28:59
2022-09-05 01:42:01.546925,2022-09-05 01:29:00,0.3339,0.3364,0.3273,0.3273,2022-09-05 01:29:59
2022-09-05 01:42:01.547020,2022-09-05 01:30:00,0.3329,0.3342,0.3274,0.3342,2022-09-05 01:30:59
2022-09-05 01:42:01.547100,2022-09-05 01:31:00,0.3331,0.3331,0.3330,0.3330,2022-09-05 01:31:59
2022-09-05 01:42:01.547205,2022-09-05 01:32:00,0.3330,0.3341,0.3329,0.3330,2022-09-05 01:32:59
2022-09-05 01:42:01.547289,2022-09-05 01:33:00,0.3330,0.3331,0.3330,0.3331,2022-09-05 01:33:59
2022-09-05 01:42:01.547380,2022-09-05 01:34:00,0.3330,0.3331,0.3329,0.3331,2022-09-05 01:34:59
2022-09-05 01:42:01.547460,2022-09-05 01:35:00,0.3328,0.3340,0.3328,0.3340,2022-09-05 01:35:59
2022-09-05 01:42:01.547576,2022-09-05 01:36:00,0.3322,0.3339,0.3273,0.3339,2022-09-05 01:36:59
2022-09-05 01:42:01.547661,2022-09-05 01:37:00,0.3328,0.3339,0.3325,0.3325,2022-09-05 01:37:59
2022-09-05 01:42:01.547738,2022-09-05 01:38:00,0.3325,0.3340,0.3325,0.3326,2022-09-05 01:38:59
2022-09-05 01:42:01.547831,2022-09-05 01:39:00,0.3326,0.3337,0.3326,0.3330,2022-09-05 01:39:59
2022-09-05 01:42:01.547912,2022-09-05 01:40:00,0.3330,0.3340,0.3330,0.3340,2022-09-05 01:40:59
2022-09-05 01:42:01.548003,2022-09-05 01:41:00,0.3340,0.3342,0.3340,0.3341,2022-09-05 01:41:59
