sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:33:01.595541,2022-09-05 00:40:00,0.3324,0.3335,0.3324,0.3335,2022-09-05 00:40:59
2022-09-05 01:33:01.595967,2022-09-05 00:41:00,0.3324,0.3346,0.3324,0.3324,2022-09-05 00:41:59
2022-09-05 01:33:01.596872,2022-09-05 00:42:00,0.3324,0.3335,0.3324,0.3325,2022-09-05 00:42:59
2022-09-05 01:33:01.597034,2022-09-05 00:43:00,0.3325,0.3346,0.3325,0.3339,2022-09-05 00:43:59
2022-09-05 01:33:01.597118,2022-09-05 00:44:00,0.3335,0.3353,0.3335,0.3344,2022-09-05 00:44:59
2022-09-05 01:33:01.597199,2022-09-05 00:45:00,0.3344,0.3354,0.3338,0.3354,2022-09-05 00:45:59
2022-09-05 01:33:01.597278,2022-09-05 00:46:00,0.3333,0.3357,0.3180,0.3357,2022-09-05 00:46:59
2022-09-05 01:33:01.597370,2022-09-05 00:47:00,0.3350,0.3354,0.3337,0.3354,2022-09-05 00:47:59
2022-09-05 01:33:01.597462,2022-09-05 00:48:00,0.3347,0.3354,0.3274,0.3333,2022-09-05 00:48:59
2022-09-05 01:33:01.597558,2022-09-05 00:49:00,0.3333,0.3354,0.3274,0.3334,2022-09-05 00:49:59
2022-09-05 01:33:01.597654,2022-09-05 00:50:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:50:59
2022-09-05 01:33:01.597865,2022-09-05 00:51:00,0.3334,0.3357,0.3274,0.3333,2022-09-05 00:51:59
2022-09-05 01:33:01.597978,2022-09-05 00:52:00,0.3333,0.3347,0.3329,0.3340,2022-09-05 00:52:59
2022-09-05 01:33:01.598081,2022-09-05 00:53:00,0.3334,0.3357,0.3334,0.3334,2022-09-05 00:53:59
2022-09-05 01:33:01.598246,2022-09-05 00:54:00,0.3334,0.3347,0.3334,0.3347,2022-09-05 00:54:59
2022-09-05 01:33:01.598478,2022-09-05 00:55:00,0.3335,0.3368,0.3335,0.3335,2022-09-05 00:55:59
2022-09-05 01:33:01.598617,2022-09-05 00:56:00,0.3335,0.3348,0.3335,0.3335,2022-09-05 00:56:59
2022-09-05 01:33:01.598725,2022-09-05 00:57:00,0.3335,0.3348,0.3334,0.3334,2022-09-05 00:57:59
2022-09-05 01:33:01.598823,2022-09-05 00:58:00,0.3334,0.3361,0.3332,0.3332,2022-09-05 00:58:59
2022-09-05 01:33:01.599070,2022-09-05 00:59:00,0.3332,0.3361,0.3331,0.3331,2022-09-05 00:59:59
2022-09-05 01:33:01.599302,2022-09-05 01:00:00,0.3331,0.3343,0.3331,0.3343,2022-09-05 01:00:59
2022-09-05 01:33:01.599550,2022-09-05 01:01:00,0.3331,0.3343,0.3331,0.3331,2022-09-05 01:01:59
2022-09-05 01:33:01.599675,2022-09-05 01:02:00,0.3331,0.3368,0.3331,0.3343,2022-09-05 01:02:59
2022-09-05 01:33:01.599773,2022-09-05 01:03:00,0.3343,0.3355,0.3343,0.3355,2022-09-05 01:03:59
2022-09-05 01:33:01.599998,2022-09-05 01:04:00,0.3348,0.3355,0.3343,0.3355,2022-09-05 01:04:59
2022-09-05 01:33:01.600106,2022-09-05 01:05:00,0.3342,0.3361,0.3341,0.3341,2022-09-05 01:05:59
2022-09-05 01:33:01.600202,2022-09-05 01:06:00,0.3341,0.3359,0.3341,0.3359,2022-09-05 01:06:59
2022-09-05 01:33:01.600388,2022-09-05 01:07:00,0.3341,0.3370,0.3336,0.3336,2022-09-05 01:07:59
